trt,control
Harness Xtra fb Roundup Pmax + Impact + Aatrex,96
Harness Xtra fb Impact + Status + Aatrex,97
SureStart fb Durango,96
Lumaz EZ + Aatrex + Harness fb Status + Aatrex,97
Lumaz EZ + Aatrex fb Status + Towchdown Total,97
Lumaz EZ + Aatrex fb Towchdown Total,96
Lumaz EZ + Aatrex fb Aatrex + Dual II Magnum + Liberty,98
Lumaz EZ fb Aatrex + Halex GT,95
Lumaz EZ fb Towchdown Total,97
Lumaz EZ fb Status (98),91
Lumaz EZ fb Status (196),96
Anthem ATZ fb Anthem,87
Resolve DF + Bicep II Magnum fb Abundit Extra ,97
Verdict + Outlook fb Impact + Status,94
Corvus + Aatrex fb Status,86
